             200              (NULL) L11A                        (NULL)        (NULL)              (NULL)                (NULL)        (NULL) DUL20         
            7500                  96 19.Q2                           16          2000                  96                    18           500 BASEBAND 5216 
            4000                  48 19.Q2                           16          1050                  48                    18           300 BASEBAND 5212 
            1500                  12 L19.Q2                           6           175                  12                     6            50 DUL20         
            4000                  48 19.Q2                           16          1050                  48                    18           300 BASEBAND 6303 
            4000                  48 19.Q2                           16          1050                  48                    18           300 BASEBAND 6620 
            7500                  96 19.Q2                           16          2000                  96                    18           500 BASEBAND 6630 
            1000                  24 19.Q2                            8           600                  24                     8           250 BASEBAND 6502 
            7500                  96 19.Q2                           16          2000                  96                    18           500 BASEBAND 6318 
            7500                  96 19.Q3                           16          2000                  96                    18           500 BASEBAND 5216 
            4000                  48 19.Q3                           16          1200                  48                    18           500 BASEBAND 5212 
            1500                  12 L19.Q3                           6           175                  12                     6            50 DUL20         
            4000                  48 19.Q3                           16          1200                  48                    18           500 BASEBAND 6303 
            4000                  48 19.Q3                           16          1200                  48                    18           500 BASEBAND 6620 
            7500                  96 19.Q3                           16          2000                  96                    18           500 BASEBAND 6630 
            1000                  24 19.Q3                            8          1000                  24                     8           450 BASEBAND 6502 
            7500                  96 19.Q3                           16          2000                  96                    18           500 BASEBAND 6318 
            7500                  96 19.Q4                           16          2000                  96                    18           500 BASEBAND 5216 
            4000                  48 19.Q4                           16          1200                  48                    18           500 BASEBAND 5212 
            1500                  12 L19.Q4                           6           175                  12                     6            50 DUL20         
            4000                  48 19.Q4                           16          1200                  48                    18           500 BASEBAND 6303 
            4000                  48 19.Q4                           16          1200                  48                    18           500 BASEBAND 6620 
            7500                  96 19.Q4                           16          2000                  96                    18           500 BASEBAND 6630 
            1000                  24 19.Q4                            8          1000                  24                     8           450 BASEBAND 6502 
            7500                  96 19.Q4                           16          2000                  96                    18           500 BASEBAND 6318 
            7500                  96 20.Q1                           16          2000                  96                    18           500 BASEBAND 5216 
            4000                  48 20.Q1                           16          1200                  48                    18           500 BASEBAND 5212 
            1500                  12 L20.Q1                           6           175                  12                     6            50 DUL20         
            4000                  48 20.Q1                           16          1200                  48                    18           500 BASEBAND 6303 
            4000                  48 20.Q1                           16          1200                  48                    18           500 BASEBAND 6620 
            7500                  96 20.Q1                           16          2000                  96                    18           500 BASEBAND 6630 
            1000                  24 20.Q1                            8          1000                  24                     8           450 BASEBAND 6502 
            7500                  96 20.Q1                           16          2000                  96                    18           500 BASEBAND 6318 
            7500                  96 20.Q2                           16          2000                  96                    18           500 BASEBAND 5216 
            4000                  48 20.Q2                           16          1200                  48                    18           500 BASEBAND 5212 
            4000                  48 20.Q2                           16          1200                  48                    18           500 BASEBAND 6303 
            4000                  48 20.Q2                           16          1200                  48                    18           500 BASEBAND 6620 
            7500                  96 20.Q2                           16          2000                  96                    18           500 BASEBAND 6630 
            1000                  24 20.Q2                            8          1000                  24                     8           450 BASEBAND 6502 
            7500                  96 20.Q2                           16          2000                  96                    18           500 BASEBAND 6318 
            7500                  96 20.Q3                           16          2000                  96                    18           500 BASEBAND 5216 
            4000                  48 20.Q3                           16          1200                  48                    18           500 BASEBAND 5212 
            4000                  48 20.Q3                           16          1200                  48                    18           500 BASEBAND 6303 
            4000                  48 20.Q3                           16          1200                  48                    18           500 BASEBAND 6620 
            7500                  96 20.Q3                           16          2000                  96                    18           500 BASEBAND 6630 
            1000                  24 20.Q3                            8          1000                  24                     8           450 BASEBAND 6502 
            7500                  96 20.Q3                           16          2000                  96                    18           500 BASEBAND 6318 
            7500                  96 20.Q4                           16          2400                  96                    18           500 BASEBAND 5216 
            4000                  48 20.Q4                           16          1200                  48                    18           500 BASEBAND 5212 
            4000                  48 20.Q4                           16          1200                  48                    18           500 BASEBAND 6303 
            4000                  48 20.Q4                           16          1200                  48                    18           500 BASEBAND 6620 
            7500                  96 20.Q4                           16          2400                  96                    18           500 BASEBAND 6630 
            1000                  24 20.Q4                            8          1000                  24                     8           450 BASEBAND 6502 
            7500                  96 20.Q4                           16          2400                  96                    18           500 BASEBAND 6318 
